sentence,label,cleaned
Nice headset priced right.,1,nice headset price right
I only hear garbage for audio.,0,hear garbage audio
Excellent bluetooth headset.,1,excellent bluetooth headset
It has all the features I want,1,feature want
Who in their right mind is gonna buy this battery?.,0,right mind gonna buy battery
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,argue verizon regard drop call return phone two days
This case seems well made.,1,case seem well make
Disappointed with battery.,0,disappoint battery
Not loud enough and doesn't turn on like it should.,0,loud enough doesnt turn like
good protection and does not make phone too bulky.,1,good protection make phone bulky
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,usable keyboard actually turn pda realworld useful machine instead neat gadget
This phone is pretty sturdy and I've never had any large problems with it.,1,phone pretty sturdy ive never large problems
I love this thing!,1,love thing
Everything about it is fine and reasonable for the price i.e.,1,everything fine reasonable price ie
VERY DISAPPOINTED.,0,disappoint
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,even drop phone stream submerge second still work great
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,happy complaints one regard sound quality end
The buttons for on and off are bad.,0,button bad
Essentially you can forget Microsoft's tech support.,0,essentially forget microsofts tech support
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,really recommend faceplates since look nice elegant cool
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,headphones great find think perhaps best purchase ive make last several years seriously
Buy a different phone - but not this.,0,buy different phone
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,hold phone particular angle party hear clearly
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,one big drawback mp player button phone front cover let pause skip songs lock second
"A week later after I activated it, it suddenly died.",0,week later activate suddenly die
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,feel comfortable headsets wear glass get way sometimes
Great for iPODs too.,1,great ipods
This device is great in several situations:1.),1,device great several situations
Mic Doesn't work.,0,mic doesnt work
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,even bmw series fairly quiet trouble hear person say
Great choice!,1,great choice
Nice docking station for home or work.,1,nice dock station home work
This is a beautiful phone.,1,beautiful phone
Love this product.,1,love product
Do Not Buy for D807...wrongly advertised for D807.,0,buy dwrongly advertise
This is a great little item.,1,great little item
"I love this phone , It is very handy and has a lot of features .",1,love phone handy lot feature
I purchased this and within 2 days it was no longer working!!!!!!!!!,0,purchase within days longer work
I wear it everyday and it holds up very well.,1,wear everyday hold well
Not a good bargain.,0,good bargain
"Well packaged, arrived on time, and works as intended.",1,well package arrive time work intend
The battery runs down quickly.,0,battery run quickly
"This item worked great, but it broke after 6 months of use.",0,item work great break months use
The headsets are easy to use and everyone loves them.,1,headsets easy use everyone love
This phone works great.,1,phone work great
The construction of the headsets is poor.,0,construction headsets poor
Product was excellent and works better than the verizon one and Boy was it cheaper!,1,product excellent work better verizon one boy cheaper
The phone loads super!,1,phone load super
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,product cost much one expect work far better greater ease thing
Made very sturdy.,1,make sturdy
Worked great!.,1,work great
The ear buds only play music in one ear.,0,ear bud play music one ear
Dont waste your money...,0,dont waste money
Will order from them again!,1,order
If you plan to use this in a car forget about it.,0,plan use car forget
I found this product to be waaay too big.,0,find product waaay big
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1,best ive find far ive try bluetooths one best quality listener well ease use
I'm very disappointed with my decision.,0,im disappoint decision
Integrated seamlessly with the Motorola RAZR phone.,1,integrate seamlessly motorola razr phone
"Buyer Beware, you could flush money right down the toilet.",0,buyer beware could flush money right toilet
Definitely a bargain.,1,definitely bargain
The price was very good and with the free shipping and all it was a good purchase.,1,price good free ship good purchase
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0,receive supposedly new motorola apparently match phone charger
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,prosgood camera nice picture also cool style like black white
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,thats huge design flaw unless im use correctly dont think case
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,love headset jabra bluetooth headset great reception good ear piece comfortable fit
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,camera although rat impressive megapixels render image fall well expectations relatively high resolution
I purcashed this for the car charger and it does not work.,0,purcashed car charger work
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,sound quality end excellent use headset call wife ask wife use headset call
This phone is slim and light and the display is beautiful.,1,phone slim light display beautiful
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1,little geeky think thats sex toast rock ooze sex right battery embed sleek stylish leather case
"Great product, fast shipping!.",1,great product fast ship
Absolutely great.,1,absolutely great
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1,keyboard nice compromise full qwerty basic cell phone number keypad
i got this phone around the end of may and i'm completely unhappy with it.,0,get phone around end may im completely unhappy
It is very comfortable on the ear.,1,comfortable ear
It has been a winner for us.,1,winner us
)Setup couldn't have been simpler.,1,setup couldnt simpler
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,ive try several different earpieces cell phone jabra one first one ive find fit ear comfortably
Could not get strong enough signal.,0,could get strong enough signal
Iam very pleased with my purchase.,1,iam please purchase
Bad Quality.,0,bad quality
Gets the job done.,1,get job do
Great audio!.,1,great audio
Basically the service was very bad.,0,basically service bad
it did not work in my cell phone plug i am very up set with the charger!.,0,work cell phone plug set charger
"I've only had my bluetooth for a few weeks, but I really like it.",1,ive bluetooth weeks really like
The BT headset was such a disapoinment.,0,bt headset disapoinment
It is so small and you don't even realize that it is there after a while of getting used to it.,1,small dont even realize get use
The accompanied software is almost brilliant.,1,accompany software almost brilliant
Headset works great & was packaged nicely to avoid any damage.,1,headset work great package nicely avoid damage
!I definitly recommend!!,1,definitly recommend
Buyer--Be Very Careful!!!!!.,0,buyerbe careful
The majority of the Logitech earbud headsets failed.,0,majority logitech earbud headsets fail
Very good stuff for the price.,1,good stuff price
My headset works just peachy-keen.,1,headset work peachykeen
In my house I was getting dropped coverage upstairs and no coverage in my basement.,0,house get drop coverage upstairs coverage basement
Voice recognition is tremendous!,1,voice recognition tremendous
What a waste.,0,waste
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,several different minute call experience drop area bar
I was not happy with this item.,0,happy item
very disappointed.,0,disappoint
The phone takes FOREVER to charge like 2 to 5 hours literally.,0,phone take forever charge like hours literally
I got this phone on reccomendation from a relative and I'm glad I did.,1,get phone reccomendation relative im glad
What a waste of time!,0,waste time
Its reception is very very poor.,0,reception poor
Items stated as included from the description ARE NOT INCLUDED.,0,items state include description include
"After 3 months, screen just went black all of a sudden.",0,months screen go black sudden
I Was Hoping for More.,0,hop
"Audio Quality is poor, very poor.",0,audio quality poor poor
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1,absolutely problem headset link blackberry curve
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,know sound funny seem like sketchy technology wouldnt work wellwell one work great
I've bought $5 wired headphones that sound better than these.,0,ive buy wire headphones sound better
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1,phone fast send kind message web browse significantly faster previous phone use
"Nice quality build, unlike some cheap s*** out there.",1,nice quality build unlike cheap
This item is fantastic and works perfectly!,1,item fantastic work perfectly
And I just love the colors!,1,love color
W810i is just SUPERB.,1,wi superb
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,whine internet goesthe use thing less like
Great charger.,1,great charger
This is essentially a communications tool that does not communicate.,0,essentially communications tool communicate
Works like a charm; it work the same as the one I got with the phone.,1,work like charm work one get phone
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,still maintain monkey shouldnt make headphones obviously dont share enough dna copy design humans
Great Value.,1,great value
Doesn't work at all.. I bougth it for my L7c and its not working.,0,doesnt work bougth lc work
"The look of it is very sharp and the screen is nice and clear, with great graphics.",1,look sharp screen nice clear great graphics
doesn't last long.,0,doesnt last long
One thing I hate is the mode set button at the side.,0,one thing hate mode set button side
EXCELLENT SERVICE!!!!!!!!.,1,excellent service
Thank you for wasting my money.,0,thank waste money
How can that be?The audio quality is poor.,0,bethe audio quality poor
The iGo chargers and tips are really great.,1,igo chargers tip really great
The file browser offers all the options that one needs.Handsfree is great.,1,file browser offer options one needshandsfree great
Superb Phone on a Great Network.,1,superb phone great network
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,connect wifes bluetoothmotorola hs phone work like charm whether phone pocket case
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,put latest os vg like slow crawl lock every
It only recognizes the Phone as its storage device.,0,recognize phone storage device
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,like loud buzz override conversations phone
Don't buy this product.,0,dont buy product
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0,ive bluetoooth headset time still comfortable way fit ear
The sound quality is good and functionality is awesome.,1,sound quality good functionality awesome
"I have this phone and it is a thorn in my side, I really abhor it.",0,phone thorn side really abhor
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0,recently problems could stay connect minutes disconnect
Incredible!.,1,incredible
Design Flaw?.,0,design flaw
Great phone!.,1,great phone
Waste of 13 bucks.,0,waste buck
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,check voice mail night keypad backlight turn second first message im lose
The replacement died in a few weeks.,0,replacement die weeks
Any ring tone..Overall good phone to buy..,1,ring toneoverall good phone buy
Lately they have been extremely nice and helpful on the phone.,1,lately extremely nice helpful phone
I have had problems wit hit dropping signal and more.,0,problems wit hit drop signal
Not impressed.,0,impress
"Light weight, I hardly notice it is there.",1,light weight hardly notice
You'll love how thin it is.,1,youll love thin
Bad Choice.,0,bad choice
The pleather case doesn't fit.,0,pleather case doesnt fit
"useless phone, simply deaf.",0,useless phone simply deaf
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,color even prettier think would graphics incredibly sharp
All in all I think it was a good investment.,1,think good investment
It makes very strange ticking noises before it ends the call.,0,make strange tick noise end call
The best electronics of the available FM Transmitters.,1,best electronics available fm transmitters
Battery lasts only a few hours.,0,battery last hours
"great headset, very impressed - H500.",1,great headset impress h
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,mega pixel camera part phone reasonably good
I've had this for nearly 2 years and it has worked great for me.,1,ive nearly years work great
Good transmit audio.,1,good transmit audio
We are sending it back.,0,send back
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0,bother contact company dollar product learn lesson buy form online anyway
"If you hate earbugs, avoid this phone by all means.",0,hate earbugs avoid phone mean
Great price also!,1,great price also
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,range decent ive able roam around house phone live room receptionsound quality issue
fast service.,1,fast service
I would highly recommend this.,1,would highly recommend
I would recommend this.,1,would recommend
"I also didn't like the ""on"" button, it felt like it would crack with use.",0,also didnt like button felt like would crack use
WORST PHONE EVER.,0,worst phone ever
I'm still infatuated with this phone.,1,im still infatuate phone
Freezes frequently4.,0,freeze frequently
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0,kind embarrass use look mostly embarrass childlike company
"Simple, lightweight and great fit.",1,simple lightweight great fit
"All in all, I'd expected a better consumer experience from Motorola.",0,id expect better consumer experience motorola
There's a horrible tick sound in the background on all my calls that I have never experienced before.,0,theres horrible tick sound background call never experience
These are certainly very comfortable and functionality is decent.,1,certainly comfortable functionality decent
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1,usually dont like headbands one lightweight doesnt mess hair
I'm a bit disappointed.,0,im bite disappoint
"I have had this phone for over a year now, and I will tell you, its not that great.",0,phone year tell great
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0,order sony ericsson wi think work thats first use
The battery is completely useless to me.,0,battery completely useless
What a big waste of time.,0,big waste time
Don't waste your $$$ on this one.,0,dont waste one
Great sound and service.,1,great sound service
Really pleased with this product so far.,1,really please product far
One of my favorite purchases ever.,1,one favorite purchase ever
best bluetooth on the market.,1,best bluetooth market
Authentic leather with nice shine and comfort .I recommend you this case !!,1,authentic leather nice shine comfort recommend case
I was very excited to get this headset because I thought it was really cute.,1,excite get headset think really cute
Do not make the same mistake as me.,0,make mistake
Big Disappointment with calendar sync.,0,big disappointment calendar sync
the phone was unusable and was not new.,0,phone unusable new
Worst Customer Service Ever.,0,worst customer service ever
"No additional ear gels provided, and no instructions whatsoever.",0,additional ear gel provide instructions whatsoever
It defeats the purpose of a bluetooth headset.,0,defeat purpose bluetooth headset
Worth every penny.,1,worth every penny
Excellent wallet type phone case.,1,excellent wallet type phone case
Nice headphones for the price and they work great!,1,nice headphones price work great
Internet is excrutiatingly slow.,0,internet excrutiatingly slow
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,comfortable wear well probably important aspect use case
"It's fits like a glove and is strong, secure, and durable.",1,fit like glove strong secure durable
O my gosh the best phone I have ever had.,1,gosh best phone ever
It's very attractive and appears to be of good quality.,1,attractive appear good quality
I love all the features and form factor.,1,love feature form factor
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0,product strong rubberpetroleum smell unbearable cause return
poor quality and service.,0,poor quality service
"The cable looks so thin and flimsy, it is scary.",0,cable look thin flimsy scary
Great Earpiece.,1,great earpiece
Excellent hands free tool.,1,excellent hand free tool
Great for using with your home stereo.,1,great use home stereo
Good product - incredible value.,1,good product incredible value
Only had this a month but it's worked flawlessly so far.,1,month work flawlessly far
Works great.,1,work great
Absolutel junk.,0,absolutel junk
THAT one didn't work either.,0,one didnt work either
Battery life is real good.,1,battery life real good
Returned 8 hours later.,0,return hours later
It's a great item.,1,great item
Don't waste your money!.,0,dont waste money
Love this headset!,1,love headset
"Not only will it drain your player, but may also potentially fry it.",0,drain player may also potentially fry
Worked perfectly!,1,work perfectly
Unreliable - I'm giving up.,0,unreliable im give
I gave it 5 stars because of the sound quality.,1,give star sound quality
Avoid this one if you can.,0,avoid one
Reversible plug works great.,1,reversible plug work great
I wasted my little money with this earpiece.,0,waste little money earpiece
Very good phone.,1,good phone
"Best of all is the rotating feature, very helpful.",1,best rotate feature helpful
Comfort for our whole family.,1,comfort whole family
"Good product, good seller.",1,good product good seller
I love this bluetooth!,1,love bluetooth
"First of all, it doesn't wear well.",0,first doesnt wear well
I am very impressed with this headset from Plantronics.,1,impress headset plantronics
I got it because it was so small and adorable.,1,get small adorable
Great phone!.,1,great phone
I wouldn't recommend buying this product.,0,wouldnt recommend buy product
Piece of Junk.,0,piece junk
Poorly contstruct hinge.,0,poorly contstruct hinge
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,item great instal let charge overnite work good every since problems
Great Phone.,1,great phone
Don't buy it.,0,dont buy
Excellent Phone.,1,excellent phone
DO NOT PURCHASE THIS PHONE.,0,purchase phone
The voice recognition thru the handset is excellent.,1,voice recognition thru handset excellent
This is hands down the best phone I've ever had.,1,hand best phone ive ever
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,work great cat attack phone scratch protective strip instead destroy screen
This one works and was priced right.,1,one work price right
Customer service was terrible.,0,customer service terrible
Battery life still not long enough in Motorola Razor V3i.,0,battery life still long enough motorola razor vi
Sending it back.,0,send back
Now I know that I made a wise decision.,1,know make wise decision
Someone shouldve invented this sooner.,1,someone shouldve invent sooner
Good price.,1,good price
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1,everything work first trythe device certainly engineer clever way construction feel good
I received it quickly and it works great!!,1,receive quickly work great
Has been working great.,1,work great
"As many people complained, I found this headset's microphone was very weak.",0,many people complain find headsets microphone weak
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0,year old nokia tracfone hold charge lot better
They do not care about the consumer one bit.,0,care consumer one bite
"This is a good battery, and it got here really fast.",1,good battery get really fast
The instruction manual is lacking.,0,instruction manual lack
Also its slim enough to fit into my alarm clock docking station without removing the case.,1,also slim enough fit alarm clock dock station without remove case
Phone now holds charge like it did when it was new.,1,phone hold charge like new
The battery is unreliable as well as the service use antena.,0,battery unreliable well service use antena
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0,uncomfortable sound quality quite poor compare phone razr previous wire headset plug lg
We have gotten a lot of compliments on it.,1,get lot compliment
This is definitely a must have if your state does not allow cell phone usage while driving.,1,definitely must state allow cell phone usage drive
I want my money back.,0,want money back
I love this device.,1,love device
I am also very happy with the price.,1,also happy price
I ordered this product first and was unhappy with it immediately.,0,order product first unhappy immediately
The Ngage is still lacking in earbuds.,0,ngage still lack earbuds
I was able to do voice dialing in the car with no problem.,1,able voice dial car problem
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,bar cell phone home cant hear anything
"good item, low price.",1,good item low price
"However-the riingtones are not the best, and neither are the games.",0,howeverthe riingtones best neither game
The plug did not work very well.,0,plug work well
AMAZON SUCKS.,0,amazon suck
Rip off---- Over charge shipping.,0,rip charge ship
VERY comfortable.,1,comfortable
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1,battery work well replacement original come phone years ago
The reception is excellent!,1,reception excellent
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",1,fit comfortably either ear sound clear loud charge last couple days
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",1,clear quality sound dont mess sound ipod since sound button headset
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,long last battery dont recharge frequentyly flip phone
Obviously there is a problem with the adhesive.,0,obviously problem adhesive
Very disappointing.,0,disappoint
"It was an inexpensive piece, but I would still have expected better quality.",0,inexpensive piece would still expect better quality
It is practically useless and did not add any kind of boost to my reception after I bought it.,0,practically useless add kind boost reception buy
Excellent sound quality.,1,excellent sound quality
Was not happy.,0,happy
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0,piece junk break phone days
New Battery works great in phone.,1,new battery work great phone
Worst customer service.,0,worst customer service
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",1,ive drop phone time say even concrete phone still great knock wood
Reception is terrible and full of static.,0,reception terrible full static
Good audio quality.,1,good audio quality
This little device has transformed my organizational capability and made my life a whole lot easier.,1,little device transform organizational capability make life whole lot easier
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0,sit vehicle cradle belt headset lose signal
Were JERKS on the phone.,0,jerk phone
Works like a charm.. Works as advertised.,1,work like charm work advertise
"Comfortable, Nice Range, Good Battery Life.",1,comfortable nice range good battery life
Their network coverage in Los Angeles is horrible.,0,network coverage los angeles horrible
Excellent starter wireless headset.,0,excellent starter wireless headset
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",0,loudspeaker option great bumpers light appeal
The only thing that I think could improve is the sound leaks out from the headset.,0,thing think could improve sound leak headset
"First off the reception sucks, I have never had more than 2 bars, ever.",0,first reception suck never bar ever
The phone gets EXTREMELY HOT!,0,phone get extremely hot
"The microphone also works well, but (according to people I have called) it applifies everything.",1,microphone also work well accord people call applifies everything
Nice design and quality.,1,nice design quality
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",0,also phone drop case go save specially drop face
"It is light, easy to use, and has very clear reception and transmission.",1,light easy use clear reception transmission
"bad fit, way too big.",0,bad fit way big
It definitely was not as good as my S11.,1,definitely good
awesome device.,1,awesome device
Waste of money.,0,waste money
"I had ordered a motorola data cable, got a very well finished and working product.",1,order motorola data cable get well finish work product
Love This Phone.,1,love phone
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1,look headset long time ive get couldnt happier
"I'll be drivng along, and my headset starts ringing for no reason.",0,ill drivng along headset start ring reason
Display is excellent and camera is as good as any from that year.,1,display excellent camera good year
Battery life is also great!,1,battery life also great
The worst phone I've ever had.... Only had it for a few months.,0,worst phone ive ever months
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0,good item work start problems auto reverse tape player
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0,embarassing also ears hurt try push ear plug ear
Protects the phone on all sides.,1,protect phone side
This is a VERY average phone with bad battery life that operates on a weak network.,0,average phone bad battery life operate weak network
"Clear Skype Calls, Long Battery Life, Long Range.",1,clear skype call long battery life long range
Soyo technology sucks.,0,soyo technology suck
Great Hands Free Device.,1,great hand free device
"you can even take self portraits with the outside (exterior) display, very cool.",1,even take self portraits outside exterior display cool
Same problem as others have mentioned.,0,problem others mention
After trying many many handsfree gadgets this is the one that finally works well.,1,try many many handsfree gadgets one finally work well
Magical Help.,1,magical help
The worst piece of crap ever along with the Verizon customer service.,0,worst piece crap ever along verizon customer service
Poor sound quality.,0,poor sound quality
The best phone in market :).,1,best phone market
It worked very well.,1,work well
The company shipped my product very promptly and it works well.,1,company ship product promptly work well
Exactly what I wanted.,1,exactly want
The picture resolution is far below what other comparably-priced phones are offering today.,0,picture resolution far comparablypriced phone offer today
This is a great deal.,1,great deal
"Excellent product, I am very satisfied with the purchase.",1,excellent product satisfy purchase
I highly recommend these and encourage people to give them a try.,1,highly recommend encourage people give try
Better than you'd expect.,1,better youd expect
"Using all earpieces, left or right, this thing will not stay on my ear.",0,use earpieces leave right thing stay ear
Great product and price.,1,great product price
"Sounds good reasonably priced and effective, Its that simple !",1,sound good reasonably price effective simple
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0,still wait im sure item would work well ever recieve
what a disappointment,0,disappointment
Very prompt service.,1,prompt service
Excellent product for the price.,1,excellent product price
Very pleased with this headset.,1,please headset
don't waste your money and time.,0,dont waste money time
I especially love the long battery life.,1,especially love long battery life
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0,stupid keep buy new chargers car chargers cradle headphones car kit every time new phone come
Works great.,1,work great
Plantronics Bluetooth Excelent Buy.,1,plantronics bluetooth excelent buy
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0,come verizon cingulair nicer cell phone first thing notice really bad service
I'll be looking for a new earpiece.,0,ill look new earpiece
I highly recommend this device to everyone!,1,highly recommend device everyone
Jawbone Era is awesome too!,1,jawbone era awesome
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0,receive white color battery go dead couple hoursthe original use last week still last longer thereplacement
After a year the battery went completely dead on my headset.,0,year battery go completely dead headset
"I have used several phone in two years, but this one is the best.",1,use several phone two years one best
An Awesome New Look For Fall 2000!.,1,awesome new look fall
This is the first phone I've had that has been so cheaply made.,0,first phone ive cheaply make
"Att is not clear, sound is very distorted and you have to yell when you talk.",0,att clear sound distort yell talk
The plastic breaks really easy on this clip.,0,plastic break really easy clip
Price is good too.,1,price good
Don't make the same mistake I did.,0,dont make mistake
Oh and I forgot to also mention the weird color effect it has on your phone.,0,oh forget also mention weird color effect phone
I'm using it with an iriver SPINN (with case) and it fits fine.,1,im use iriver spinn case fit fine
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0,also area unit break im fond magnetic strap
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",1,overall psyched phone appointments contact get great reception
"every thing on phone work perfectly, she like it.",1,every thing phone work perfectly like
"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",0,another note phone appearance really look rather bland especially black model
IT'S REALLY EASY.,1,really easy
My Sanyo has survived dozens of drops on blacktop without ill effect.,1,sanyo survive dozens drop blacktop without ill effect
Fantastic earphones.,1,fantastic earphones
It finds my cell phone right away when I enter the car.,1,find cell phone right away enter car
Low Quality.,0,low quality
I highly recommend this modest priced cellular phone.,1,highly recommend modest price cellular phone
But it does get better reception and clarity than any phone I've had before.,1,get better reception clarity phone ive
Warning - Stay away.,0,warn stay away
I wish I could return the unit and get back my money.,0,wish could return unit get back money
Awsome Device Works Great!!.,1,awsome device work great
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0,use talk hours battery would literally drain die
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",0,dont find bad unit come one earpad onlyi would recommend anyone
Very Displeased.,0,displease
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",0,might get defect would risk buy build quality alone
They made this case too small and is very difficult to install.,0,make case small difficult install
Restored my phone to like new performance.,1,restore phone like new performance
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1,would recommend purchase jabra jx series work flawlessly moto q go figure
"I searched the Internet, and found this one to be the best value.",1,search internet find one best value
Does not fit.,0,fit
Very happy with this product.,1,happy product
